#mAbG 50 mM NaCl 10 mg/ml with FF 1 and 2 mg/ml		
#q	S(q)	deltaS(q)
0.07546864	0.923776562	0.022742311
0.075599338	0.960493208	0.024605919
0.075730035	0.974832383	0.025678041
0.075860732	0.924873981	0.023147063
0.07599143	0.903959698	0.022237867
0.076122127	0.947793669	0.024424311
0.076252824	0.947565728	0.023995276
0.076383522	0.988262322	0.026279397
0.076514219	0.922125411	0.023128544
0.076644916	0.952499526	0.024853381
0.076775614	0.97374039	0.025885044
0.076906311	0.92826366	0.02455199
0.077037008	0.977105708	0.026222566
0.077167705	0.928277676	0.023959627
0.077298403	0.94439168	0.024639922
0.0774291	0.955828097	0.025431225
0.077559797	0.990670209	0.027104928
0.077690495	1.004725941	0.027698399
0.077821192	0.977910272	0.026640014
0.077951889	0.983390126	0.026963855
0.078082587	0.949535546	0.025494611
0.078213284	0.986775088	0.027022179
0.078343981	0.960987727	0.025915327
0.078474679	1.017469427	0.029222808
0.078605376	0.959602758	0.026869032
0.078736073	1.025351146	0.029539172
0.078866771	0.946804827	0.02520511
0.078997468	1.003467201	0.029598655
0.079128165	1.022343518	0.029963904
0.079258862	0.9814323	0.027561689
0.07938956	0.889884624	0.022876059
0.079520257	0.925362667	0.024717475
0.079650954	0.963641482	0.026553127
0.079781652	0.975316274	0.027422907
0.079912349	0.98935796	0.028311737
0.080043046	1.030404886	0.017589442
0.080173744	1.001395071	0.016595409
0.080304441	0.945054273	0.014933596
0.080435138	0.970563568	0.015829776
0.080565836	0.987998178	0.016455421
0.080696533	0.996719584	0.016671085
0.08082723	1.00690789	0.017068857
0.080957928	0.952389045	0.015524025
0.081088625	0.954799706	0.015620146
0.081219322	0.981893448	0.016449563
0.081350019	0.966213448	0.016064312
0.081480717	0.975498875	0.01631613
0.081611414	0.978043646	0.0162636
0.081742111	0.9275928	0.014879856
0.081872809	0.960869553	0.015979539
0.082003506	1.015407188	0.017645646
0.082134203	0.968114187	0.016397407
0.082264901	0.999485216	0.017180105
0.082395598	0.979350242	0.016643928
0.082526295	0.97763803	0.016920468
0.082656993	0.985211952	0.016876296
0.08278769	0.999520006	0.018224313
0.082918387	0.964011217	0.016253747
0.083049085	0.996642842	0.017260888
0.083179782	0.971500605	0.016778669
0.083310479	0.986312136	0.017358668
0.083441176	0.989858627	0.01752621
0.083571874	0.967878219	0.016721699
0.083702571	0.97180383	0.016763868
0.083833268	0.972043401	0.016841228
0.083963966	0.999964809	0.017793531
0.084094663	0.982800059	0.017638246
0.08422536	0.992353277	0.01792104
0.084356058	0.995369509	0.018022952
0.084486755	0.962435237	0.016876157
0.084617452	0.987105065	0.017640707
0.08474815	0.987856607	0.019473736
0.084878847	0.992882519	0.01801203
0.085009544	1.017273491	0.018655817
0.085140242	1.004040873	0.018581407
0.085270939	1.017788115	0.019129248
0.085401636	0.986864581	0.018530524
0.085532333	0.961409907	0.017100563
0.085663031	0.961306341	0.017077366
0.085793728	0.960159114	0.017519775
0.085924425	0.96233465	0.017391885
0.086055123	0.980816945	0.018038606
0.08618582	0.970864922	0.017729362
0.086316517	1.001164105	0.01892064
0.086447215	0.963945293	0.017535097
0.086577912	0.968945092	0.017871632
0.086708609	0.975809517	0.017881362
0.086839307	0.951393379	0.018018079
0.086970004	1.003384386	0.019120566
0.087100701	1.027071652	0.019716585
0.087231399	0.99808278	0.019004694
0.087362096	0.951332962	0.017396947
0.087492793	0.986547291	0.018630272
0.08762349	0.980216886	0.019711789
0.087754188	0.987952598	0.018908805
0.087884885	0.988263075	0.01896889
0.088015582	0.978435042	0.018800315
